"Table 4 - Full list of first forenames given, Scotland, 2009",,,,
,,,,
Boys names,Number of babies,,Girls names,Number of babies
BRAYAN,1,,ARIANA,4
BRAYDEN,11,,ARIANNA,12
BREANNAIN,1,,ARIANNE,1
BRECKIN,1,,ARIELLE,2
BRENDAN,16,,ARINA,1
BRENDEN,1,,ARISA,1
BRENDON,1,,ARISHA,3
BRENNAN,5,,ARIYA,1
BRENO,1,,ARLA,2
BRENT,1,,ARLENE,1
BRETAS,1,,ARLEY,1
BRIAN,16,,AROUSH,1
BROC,1,,ARRAN,1
BRODEN,3,,ARRIA,1
BRODIE,78,,ARRIANNA,1
BRODIE-GAEL,1,,ARRIANNA-FIONA,1
BRODY,27,,ARRIANNA-JANE,1
BROGAN,17,,ARTEMIS,2
BROGHAN,1,,ARWA,1
BROGYN,1,,ARWAA,1
BROOKLYN,9,,ARWEN,7
BRUCE,16,,ARWYN,2
BRUNO,5,,ARYA-JANE,1
BRYAN,5,,ARYAM,1
BRYCE,11,,ARYANNA,1
BRYDON,1,,ARYN,1
BRYN,6,,ASALDIS,1
BRYNN,1,,ASEEL,2
BUDDY,2,,ASHA,3
BYRIN,1,,ASHIA,1
BYRON,3,,ASHLEE,2
C-JAE,1,,ASHLEIGH,15
CACY,1,,ASHLEIGH-ANN,1
CADAN,1,,ASHLEIGH-LOUISE,1
CADE,2,,ASHLEY,27
CADEN,15,,ASHLEYLOUISE,1
CAEDEN,2,,ASHLIE,1
CAEL,1,,ASHLYN,9
CAELAN,18,,ASHLYNE,1
CAELAN-KOLE,1,,ASHLYNN,2
CAELEN,2,,ASHTON,3
CAELIN,2,,ASHTYN,1
CAELLIN,1,,ASIA,3
CAHL,1,,ASIL,1
CAHLAN,1,,ASIYA,1
CAI,4,,ASMA,3
CAIDAN,3,,ASMAA,4
CAIDEN,28,,ASMAT,1
CAIDYN,3,,ASRA,1
CAILAN,2,,ASTRID,4
CAILEAN,15,,ATHENA,2
CAILIN,2,,ATLANTA,2
CAILLEN,1,,AUBEPINE,1
CAILUM,1,,AUBRY,1
CAIMEN,1,,AUDREY,2
CAIN,7,,AUGURE,1
CAIRN,6,,AUGUST,1
CAIRNS,1,,AURELIA,5
CAIRO,1,,AURELIE,1
CAIYDEN,1,,AURLA,2
CAL,2,,AURORA,3
CALAN,8,,AUSTEJA,2
CALDER,1,,AUTAUM,1
CALEB,99,,AUTUMN,8
CALEDON,1,,AVA,442
CALEN,1,,AVA-GRACE,2
CALEY,1,,AVA-JAYNE,1
CALIN,1,,AVA-KATE,1
CALLAM,1,,AVA-LEIGH,1
CALLAN,32,,AVA-LOUISE,1
CALLEN,1,,AVA-MARRIE,1
CALLEY,1,,AVA-MARY,1
CALLUM,338,,AVA-MAY,1
CALUM,134,,AVA-RUBY,1
CALVIN,63,,AVAH,11
CALYM,1,,AVAH-JAYNE,1
CAMDEN,1,,AVAH-ROSE,1
CAMDYN,1,,AVANITA,1
CAMERON,352,,AVIE,1
CAMERON-JAMES,1,,AVRIL,1
CAMERON-JAY,1,,AWO,1
CAMERON-JOHN,1,,AYA,1
CAMI,1,,AYAH,3
CAMPBELL,35,,AYANA,1
CAMRON,3,,AYANAH,1
CAMRYN,1,,AYANDA,1
CANE,1,,AYANNA,2
CAOLAIN,1,,AYAT,1
CARL,4,,AYDA,1
CARLISLE,1,,AYDEN,1
CARLO-ROMANO,1,,AYDIN,1
CARLOS,1,,AYESHA,9
CARSEN,1,,AYIANA,2
CARSON,26,,AYIMNA,1
CARTER,10,,AYISHA,1
CARTIER,1,,AYLA,17
CASEY,6,,AYLEE,2
CASH,1,,AYLEI,1
CASON,1,,AYLEIGH,3
CASPER,4,,AYLEY,1
CASSIDY,1,,AYLIE,1
CATHAL,1,,AYMA,1
CAVAN,3,,AYMAN,1
CAYDAN,1,,AYMEN,1
CAYDEN,33,,AYOMIDE,1
CEDRIC,1,,AYRA,2
CEIBA,1,,AYRLEIGHS,1
CEIJAY,1,,AYSE,1
CEZAR,1,,AYSHA,3
CEZARY,1,,AYSHAH-NOOR,1
CHAD,1,,AYSHIA,1
CHAM,1,,AYVA,4
CHANDLER,1,,AYZA,2
CHARANJIT,1,,AZARIAH,1
CHARL,1,,AZELIE,1
CHARLEE,1,,AZIZA,1
CHARLES,55,,AZKA,2
CHARLEY,5,,AZWAH,1
CHARLIE,245,,BABITA,1
CHARLIE-JAY,1,,BAILEIGH,1
CHASE,4,,BAILEY,15
CHAY,3,,BAILEY-MARIE,1
CHAZNEY,1,,BAILIE,1
CHE,2,,BAILLEY,1
CHEN,3,,BAILLIE,5
CHENOAH,1,,BALJIT,1
CHIDUMAGA,1,,BARBARA,2
CHIEDU,1,,BASHAYER,1
CHIJIOKE,1,,BATOOL,1
CHIMDIEGWU,1,,BAYLAY,1
CHRIS,8,,BAYLIE,1
CHRISTER,1,,BEA,1
CHRISTIAN,19,,BEATE,2
CHRISTOPHER,115,,BEATHA,1
CHRISTY,1,,BEATRICE,11
CHUKWUDINUM,1,,BEATRIZ,2
CHUN,1,,BEAU,2
CIAN,27,,BECCA,5
CIARAN,52,,BECKY,7
CIARON,2,,BEIBA,1
CIHAN,1,,BELINDA,1
CILLAN,1,,BELLA,6
CILLIAN,6,,BELLA-ROSE,1
CIWAN,1,,BELLE,7
CJ,1,,BERAY,1
CLARK,8,,BERNADETTE,1
CLARKE,1,,BESSIE,1
CLAY,1,,BETH,77
CLAYTON,4,,BETHA,1
CLEMENT,2,,BETHAN,9
CLIVE,1,,BETHANIE,1
CLYDE,1,,BETHANY,63
COBEN,2,,BETSY,1
COBEY,1,,BETTY,1
COBI,1,,BETTY-LOU,1
COBIE,1,,BEVON,1
COBIN,1,,BHAVNA,1
COBURN,1,,BHISHNEE,1
COBY,8,,BHREAGHA,1
CODDIE,1,,BIANCA,5
CODEY,6,,BIBA,1
CODI,5,,BILLI,1
CODIE,1,,BILLIE,15
CODY,57,,BILLIE-CLAIRE,1
COEN,4,,BILLIE-LOREN,1
COEYN,1,,BINDIA,1
COHAN,4,,BLAE,1
COHEN,14,,BLAIR,4
COINNEACH,1,,BLAIRE,2
COIRE,1,,BLAISE,1
COIRRIN,1,,BLANKA,2
COLBY,5,,BLESSING,2
COLE,116,,BLISS,1
COLETON,1,,BLOSSOM,2
COLIN,15,,BLYTHE,3
COLL,4,,BNAFSHA,1
COLLA,1,,BO,1
COLLINS,1,,BOBBI,6
COLM,2,,BOBBIE,2
COLT,1,,BOBBIE-JOE,1
COLVIN,1,,BOLUWADURO,1
COMRAD,1,,BONITA,1
CONAIRE,1,,BONNIE,9
CONAL,1,,BONNIE-LEIGH,1
CONALIN,1,,BONNIQUE,1
CONALL,6,,BONNY,1
CONAN,5,,BORIANA,1
CONLAN,6,,BRAHMJOT,1
CONLAOCH,1,,BRAID,1
CONLIN,1,,BREA,1
CONLLEY,1,,BREAGH,1
CONNAL,4,,BREAGHA,3
CONNAN,2,,BREAH,1
CONNAR,3,,BREANNA,3
CONNEL,1,,BREE,3
CONNELL,2,,BRENNA,2
CONNEN,1,,BRIANA,1
CONNER,19,,BRIANNA,7
CONNOR,220,,BRIDGET,1
CONOR,29,,BRIELLE,1
CONRAD,3,,BRIGIT,1
COOPER,33,,BRIHANNA,2
CORAN,1,,BRIONY,3
CORAY,1,,BRITT,1
CORBAN,1,,BRODIE,17
CORBEN,3,,BROGAN,17
CORBIJN,1,,BROGHAN,2
CORBIN,1,,BRONAGH,2
CORBYN,2,,BRONNY,1
COREY,66,,BRONTE,1
COREY-JOHN,1,,BRONWYEN,1
CORIN,3,,BRONWYN,4
CORMAC,10,,BROOK,3
CORMACK,1,,BROOKE,242
CORMICK,1,,BROOKE-LYNN,1
CORRAN,1,,BROOKLEE,1
CORREYN,1,,BROOKLYN,14
CORRIAN,1,,BROOKLYNE,1
CORRIE,4,,BROOKLYNN,3
CORRY,1,,BRUNA,2
CORWIN,1,,BRYAH,1
CORY,7,,BRYCE,1
COSMAS,1,,BRYLEE,1
COSMO,2,,BRYONY,3
COUPER,1,,BUSHRA,2
CRAIG,93,,CADEN,1
CRAIG-JAMES,1,,CADENCE,4
CRAIG-LEE,1,,CADEY,2
CRAWFORD,2,,CADEY-LEE,1
CRIDHE,1,,CADHA,2
CRISTIAN,1,,CAELA,1
CRISTIANO,1,,CAELAN,3
CRUZ,6,,CAELEN,1
CUBA,1,,CAELIA,1
CULLEN,4,,CAELYN,1
CUPAR,1,,CAHLA,1
CUPER,1,,CAIDAH,1
CURTIS,10,,CAIDEE,2
CYPRIAN,3,,CAILA,3
CYRAN,1,,CAILEEN,1
CYRIL,1,,CAILEIGH,2
CYRUS,6,,CAILEY,1
D-JAY,1,,CAILIN,6
DAANISH,1,,CAILYN,7
DAAVID,1,,CAIRA,2
DAEGAN,1,,CAIRINA,1
DAGAN,1,,CAITIE,2
DAIES,1,,CAITLAN,3
DAIGAN,1,,CAITLIN,113
DAITON,1,,CAITLIN-ROSE,1
DAIWIK,1,,CAITLYN,48
DAKOTA,1,,CAITLYN-JOYCE,1
DALE,17,,CAITRIONA,1
DALEY,1,,CAITY,1
DALIL,1,,CALEDONIA,1
DALTON,2,,CALEIGH,2
DALZIEL,1,,CALENA,1
DAMIAN,10,,CALI,3
DAMIEN,11,,CALIE,1
DAMON,1,,CALISTA,1
DAN,2,,CALLA,2
DANE,1,,CALLAH,1
DANEESH,1,,CALLEIGH,6
DANIAL,1,,CALLEY,2
DANIEL,410,,CALLI,2
DANIEL-JACK,1,,CALLIE,21
DANIELIUS,1,,CALLISTA,2
DANISH,1,,CALLY,4
DANIYAL,2,,CALY,1
DANNY,26,,CAMBELLE,1
DANTE,1,,CAMERON,6
DANYAL,3,,CAMILA,1
DANYL,6,,CAMILLA,1
DARA,2,,CAMILLE,1
DARAN,1,,CAMRYN,6
DARCY,3,,CANDICE,3
DARIN,1,,CAOILAINN,1
DARIO,1,,CAOILINN,1
DARIUS,3,,CAOIMHE,17
DARIUSH,1,,CARA,99
DARIUSZ,1,,CARA-LOUISE,1
DARRAGH,9,,CARAGH,6
DARREN,37,,CARAH,1
DARREN-JUNIOR,1,,CARICE,1
DARROCH,2,,CARINA,1
DARRYL,7,,CARIS,5
DARRYLL,1,,CARLA,38
DARRYN,2,,CARLANNE,1
DARSH,1,,CARLENE,1
DARSHEEL,1,,CARLEY,1
DARYELL,1,,CARLI,4
DARYL,6,,CARLIE,2
DARYLL,3,,CARLY,56
DARYN,1,,CARLY-ANN,1
DASHELL,1,,CARLYJO,1
DATHAN,1,,CARMEL,2
DATONYE,1,,CARMELA,1
DAUD,2,,CARMELLA,1
DAVID,177,,CARMEN,22
DAVIDSON,1,,CARMYN,2
DAVIE,1,,CAROLE,1
DAVIS,2,,CAROLE-LOUISE,1
DAWID,21,,CAROLINE,4
DAWOOD,1,,CARRA,4
DAWOUD,1,,CARRAGH,1
DAWSON,3,,CARRIE,9
DAWUD,1,,CARRIS,1
DAX,1,,CARSON,2
DAYMION-LEI,1,,CARYS,25
DAYTON,1,,CARYSS,1
DEACAN,1,,CARYSSA,1
DEACON,3,,CASEY,55
DEAGAN,1,,CASEY-ANN,1
DEAKIN,1,,CASEY-JANE,1
DEAN,54,,CASIE,1
DECLAN,62,,CASS,1
DECLIN,1,,CASSADI,1
