Name,YearsAppearing,PropFemale,CountsFemale,PropMale,CountsMale
Abra,51,1,855,0,0
Abraam,5,0,0,1,36
Abraar,1,0,0,1,5
Abrah,4,1,22,0,0
Abraham,132,0.189393939393939,176,1,74674
Abrahan,38,0,0,1,847
Abraheem,3,0,0,1,17
Abrahem,4,0,0,1,25
Abrahim,30,0,0,1,445
Abrahm,38,0,0,1,491
Abram,132,0,0,1,11541
Abran,93,0,0,1,1802
Abranda,1,1,5,0,0
Abrar,24,0.833333333333333,251,0.833333333333333,256
Abraxas,1,1,5,0,0
Abrea,19,1,172,0,0
Abreana,6,1,39,0,0
Abreanna,21,1,244,0,0
Abree,23,1,350,0,0
Abreia,1,1,6,0,0
Abren,1,0,0,1,6
Abreona,1,1,6,0,0
Abreonna,2,1,10,0,0
Abrey,12,1,100,0,0
Abreya,1,1,5,0,0
Abrham,17,0,0,1,126
Abri,7,1,87,0,0
Abria,25,1,717,0,0
Abriah,3,1,15,0,0
Abrial,14,1,115,0,0
Abriam,1,0,0,1,5
Abrian,27,0.037037037037037,5,0.962962962962963,215
Abriana,24,1,1970,0,0
Abrianna,26,1,3026,0,0
Abrianne,3,1,15,0,0
Abrie,12,1,163,0,0
Abriel,28,0.892857142857143,526,0.75,189
Abriela,4,1,21,0,0
Abriele,1,1,5,0,0
Abriella,12,1,549,0,0
Abrielle,27,1,2068,0,0
Abrien,3,0,0,1,22
Abrienne,1,1,5,0,0
Abrigail,5,1,26,0,0
Abril,41,1,5743,0.024390243902439,5
Abrille,2,1,10,0,0
Abrina,19,1,140,0,0
Abrion,1,0,0,1,6
Abriona,3,1,15,0,0
Abrionna,7,1,40,0,0
Abriya,4,1,22,0,0
Abriyah,1,1,6,0,0
Abriyana,1,1,6,0,0
Abrom,1,0,0,1,6
Abron,38,0,0,1,254
Abrum,4,0,0,1,22
Abryana,15,1,137,0,0
Abryanna,16,1,190,0,0
Abryelle,4,1,25,0,0
Abryl,2,1,14,0,0
Absalom,19,0,0,1,125
Absalon,5,0,0,1,33
Abshir,5,0,0,1,31
Absidy,2,1,11,0,0
Abu,35,0,0,1,334
Abubacar,2,0,0,1,14
Abubakar,19,0,0,1,315
Abubakarr,2,0,0,1,11
Abubakary,2,0,0,1,10
Abubaker,2,0,0,1,11
Abubakr,17,0,0,1,185
Abuk,4,1,24,0,0
Abukar,3,0,0,1,22
Abundio,31,0,0,1,203
Aby,18,0.833333333333333,142,0.444444444444444,56
Abyade,2,1,10,0,0
Abyan,8,0.625,28,0.75,55
Abygael,4,1,25,0,0
Abygail,26,1,1884,0,0
Abygaile,2,1,13,0,0
Abygale,15,1,252,0,0
Abygayle,13,1,123,0,0
Abyssinia,2,1,13,0,0
Ac,16,0,0,1,106
Acacia,41,1,3198,0,0
Acadia,24,1,540,0,0
Acari,1,0,0,1,5
Acasia,15,1,115,0,0
Accacia,2,1,26,0,0
Accalia,8,1,52,0,0
Access,1,0,0,1,6
Accie,1,0,0,1,5
Accursio,1,0,0,1,5
Ace,118,0.00847457627118644,5,1,4665
Acea,8,0,0,1,53
Acel,10,0,0,1,68
Acelin,6,0.5,19,0.833333333333333,53
Acelino,1,0,0,1,7
Acelyn,13,1,201,0,0
Acelynn,13,1,249,0,0
Acen,8,0,0,1,119
Acencion,5,0,0,1,27
Aceon,2,0,0,1,13
Acer,3,0,0,1,20
Aceson,3,0,0,1,41
Aceton,2,0,0,1,11
Acey,60,0.0166666666666667,5,1,394
Aceyn,1,0,0,1,7
Achai,1,0,0,1,6
Achaia,11,1,62,0,0
Achan,1,1,5,0,0
Achante,6,1,35,0,0
Achanti,1,1,5,0,0
Achary,5,0,0,1,32
Achazia,1,1,6,0,0
Achel,6,1,39,0,0
Acheron,2,0,0,1,11
Achille,39,0,0,1,352
Achilles,49,0,0,1,1186
Achilleus,1,0,0,1,5
Achillies,6,0,0,1,53
Achintya,5,0,0,1,29
Achol,4,1,27,0,0
Achraf,1,0,0,1,5
Achsa,2,1,12,0,0
Achsah,11,1,63,0,0
Achyut,6,0,0,1,37
Achyuth,2,0,0,1,13
Acia,1,1,6,0,0
Aciano,1,0,0,1,5
Acie,115,0.0521739130434783,34,1,1991
Acil,2,0,0,1,12
Acire,9,1,53,0,0
Ackeem,5,0,0,1,32
Acob,1,0,0,1,5
Acquanetta,26,1,254,0,0
Acquanette,2,1,13,0,0
Acsa,7,1,53,0,0
Acura,4,1,26,0,0
Acxel,13,0,0,1,174
Acy,37,0.027027027027027,5,0.972972972972973,269
Ad,12,0,0,1,73
Ada,132,1,89280,0.303030303030303,277
Adabel,5,1,26,0,0
Adabella,4,1,47,0,0
Adabelle,23,1,190,0,0
Adacia,1,1,5,0,0
Adae,1,0,0,1,5
Adael,7,0,0,1,102
Adaelyn,1,1,6,0,0
Adaeze,27,1,297,0,0
Adah,114,1,2842,0,0
Adahir,4,0,0,1,35
Adahli,2,1,18,0,0
Adahlia,4,1,33,0,0
Adai,2,1,11,0,0
Adaia,5,1,36,0,0
Adaiah,16,1,128,0.1875,22
Adaija,6,1,34,0,0
Adaijah,10,1,70,0,0
Adain,12,0,0,1,252
Adair,95,0.926315789473684,1101,0.6,1167
Adaira,14,1,112,0,0
Adaire,6,1,31,0,0
Adairis,1,1,5,0,0
Adaisha,15,1,119,0,0
Adaisia,1,1,7,0,0
Adaja,11,1,100,0,0
Adajah,9,1,72,0,0
Adaku,1,1,7,0,0
Adal,15,0,0,1,288
Adala,1,1,5,0,0
Adalae,5,1,57,0,0
Adalai,6,1,45,0,0
Adalaide,12,1,109,0,0
Adalay,7,1,52,0,0
Adalaya,1,1,5,0,0
Adalayde,1,1,7,0,0
Adalbert,13,0,0,1,94
Adalberto,92,0,0,1,4231
Adale,1,1,5,0,0
Adalea,3,1,20,0,0
Adaleah,2,1,14,0,0
Adalee,30,1,749,0,0
Adaleen,3,1,21,0,0
Adaleena,1,1,7,0,0
Adalei,6,1,55,0,0
Adaleigh,9,1,211,0,0
Adaleine,1,1,6,0,0
Adalen,2,1,12,0,0
Adalena,9,1,144,0,0
Adalene,39,1,347,0,0
Adaley,5,1,57,0,0
Adalhi,1,1,5,0,0
Adali,18,0.944444444444444,270,0.222222222222222,24
Adalia,53,1,1041,0,0
Adaliah,5,1,45,0,0
Adalicia,1,1,5,0,0
Adalid,15,0.133333333333333,11,1,99
Adalida,4,1,23,0,0
Adalie,18,1,520,0,0
Adaliene,1,1,5,0,0
Adalin,8,1,129,0,0
Adalina,23,1,432,0,0
Adalinda,2,1,10,0,0
Adaline,123,1,3248,0,0
Adalis,18,1,148,0,0
Adalisa,1,1,6,0,0
Adalise,3,1,19,0,0
Adalius,1,0,0,1,9
Adaliz,18,1,171,0,0
Adallyn,1,1,6,0,0
Adaly,17,1,284,0,0
Adalya,1,1,5,0,0
Adalyn,32,1,5227,0,0
Adalyna,2,1,14,0,0
Adalyne,9,1,144,0,0
Adalynn,16,1,2955,0,0
Adalynne,7,1,179,0,0
Adalys,4,1,21,0,0
Adam,132,0.416666666666667,2002,1,518113
Adama,35,0.885714285714286,379,0.685714285714286,239
Adamae,14,1,83,0,0
Adamari,14,1,1401,0,0
Adamarie,12,1,94,0,0
Adamaris,14,1,2410,0,0
Adamariz,13,1,171,0,0
Adamary,14,1,524,0,0
Adamarys,14,1,182,0,0
Adamina,1,1,6,0,0
Adamm,1,0,0,1,6
Adamma,1,1,5,0,0
Adammichael,1,0,0,1,6
Adamo,2,0,0,1,11
Adams,71,0,0,1,954
Adan,100,0.12,68,1,21302
Adana,29,1,191,0,0
Adaneli,2,1,11,0,0
Adanelly,3,1,22,0,0
Adanely,7,1,67,0,0
Adanna,24,1,362,0,0
Adannaya,1,1,5,0,0
Adante,19,0,0,1,152
Adanya,12,1,107,0,0
Adaobi,5,1,30,0,0
Adaora,13,1,113,0,0
Adar,10,0.3,17,0.7,41
Adara,29,1,1335,0,0
Adarah,3,1,16,0,0
Adari,1,0,0,1,5
Adaria,11,1,92,0,0
Adarian,18,0,0,1,162
Adarien,3,0,0,1,15
Adarion,4,0,0,1,31
Adarious,4,0,0,1,24
Adarius,30,0,0,1,1070
Adarrius,13,0,0,1,92
Adarryl,8,0,0,1,58
Adarryll,3,0,0,1,29
Adarsh,21,0,0,1,427
Adaryl,2,0,0,1,10
Adaryll,6,0,0,1,43
Adasha,12,1,82,0,0
Adashia,3,1,20,0,0
Adasia,16,1,217,0,0
Adason,2,0.5,5,0.5,5
Adassa,3,1,18,0,0
Adasyn,9,1,108,0,0
Adaugo,5,1,29,0,0
Adavia,1,1,5,0,0
Adavion,3,0,0,1,16
Adaya,15,1,429,0,0
Adayah,11,1,91,0,0
Adayla,5,1,29,0,0
Adaysha,9,1,61,0,0
Adayshia,3,1,19,0,0
Adaysia,4,1,22,0,0
Adbeel,1,0,0,1,5
Adbiel,1,0,0,1,5
