Name,YearsAppearing,CountsFemale,CountsMale,ProbGender,Upper,Lower
Le-ah,1,1,0,Female,1,0.0512932943875506
Le-ann,1,3,0,Female,1,0.438502968244955
Lea,16,873,6,Female,0.996867966195638,0.985188315073871
Lea-anna,1,1,0,Female,1,0.0512932943875506
Lea-marie,1,3,0,Female,1,0.438502968244955
Leah,16,28904,0,Female,1,0.999867113605623
Leah-ann,1,3,0,Female,1,0.438502968244955
Leah-grace,3,12,0,Female,1,0.757505993344759
Leah-jade,1,3,0,Female,1,0.438502968244955
Leah-jane,1,4,0,Female,1,0.510109163545403
Leah-jayne,1,3,0,Female,1,0.438502968244955
Leah-louise,3,11,0,Female,1,0.741167033031968
Leah-mae,6,27,0,Female,1,0.875444970258133
Leah-mai,4,16,0,Female,1,0.806392319465564
Leah-marie,15,108,0,Female,1,0.965652640253443
Leah-may,7,46,0,Female,1,0.92292643691442
Leah-paige,2,6,0,Female,1,0.609665712097835
Leah-rose,7,38,0,Female,1,0.908190131774416
Leaha,9,39,0,Female,1,0.910333146292429
Leal,1,0,1,Male,1,0.0512932943875506
Leala,10,49,0,Female,1,0.927302180779504
Lealan,1,0,5,Male,1,0.565517535216825
Lealand,4,0,22,Male,1,0.851345125391379
Leam,11,0,55,Male,1,0.934715098882913
Lean,1,1,0,Female,1,0.0512932943875506
Leana,14,91,0,Female,1,0.95949599607112
Leanah,1,4,0,Female,1,0.510109163545403
Leanda,2,7,0,Female,1,0.645669564933313
Leander,10,6,45,Male,0.944949263220818,0.766191556856775
Leandra,14,75,0,Female,1,0.951276157517194
Leandre,2,0,7,Male,1,0.645669564933313
Leandro,16,0,210,Male,1,0.982035949240717
Leandros,1,0,3,Male,1,0.438502968244955
Leane,5,22,0,Female,1,0.851345125391379
Leann,14,78,0,Female,1,0.953062190287806
Leanna,16,478,0,Female,1,0.992027546093489
Leannah,4,12,0,Female,1,0.757505993344759
Leanne,16,3208,0,Female,1,0.998803969974874
Leanor,1,3,0,Female,1,0.438502968244955
Leara,1,3,0,Female,1,0.438502968244955
Learna,6,22,0,Female,1,0.851345125391379
Leart,8,0,36,Male,1,0.903581371405536
Leasha,4,15,0,Female,1,0.796116698964151
Leatitia,1,3,0,Female,1,0.438502968244955
Leaya,1,3,0,Female,1,0.438502968244955
Leayah,1,1,0,Female,1,0.0512932943875506
Leban,2,0,6,Male,1,0.609665712097835
Lebron,7,0,40,Male,1,0.912378398802713
Leda,1,3,0,Female,1,0.438502968244955
Lediana,1,3,0,Female,1,0.438502968244955
Ledion,8,0,36,Male,1,0.903581371405536
Ledjon,1,0,3,Male,1,0.438502968244955
Ledley,2,0,6,Male,1,0.609665712097835
Lee,16,56,7856,Male,0.994545112146124,0.990820757114483
Lee-ann,2,7,0,Female,1,0.645669564933313
Lee-anne,3,11,0,Female,1,0.741167033031968
Lee-james,2,0,4,Male,1,0.510109163545403
Lee-jay,2,0,6,Male,1,0.609665712097835
Lee-junior,2,0,8,Male,1,0.67559243511612
Leea,1,3,0,Female,1,0.438502968244955
Leeah,3,6,0,Female,1,0.609665712097835
Leeam,2,0,6,Male,1,0.609665712097835
Leeann,5,24,0,Female,1,0.86202379532502
Leeanna,3,10,0,Female,1,0.722467200137111
Leeanne,7,32,0,Female,1,0.892820801744929
Leeban,1,0,4,Male,1,0.510109163545403
Leejay,5,0,26,Male,1,0.871271078140785
Leela,16,295,0,Female,1,0.987145495689074
Leelah,1,3,0,Female,1,0.438502968244955
Leelan,5,0,32,Male,1,0.89282080174493
Leeland,6,0,66,Male,1,0.944997442986459
Leeloo,2,6,0,Female,1,0.609665712097835
Leema,1,3,0,Female,1,0.438502968244955
Leen,10,85,0,Female,1,0.956760516185948
Leena,16,591,0,Female,1,0.993542045928826
Leenah,2,6,0,Female,1,0.609665712097835
Leeon,2,0,6,Male,1,0.609665712097835
Leeonie,1,1,0,Female,1,0.0512932943875506
Leeroy,13,0,63,Male,1,0.942528800411148
Leesa,1,3,0,Female,1,0.438502968244955
Leesah,1,1,0,Female,1,0.0512932943875506
Leesha,5,19,0,Female,1,0.831820775947384
Leeson,7,0,29,Male,1,0.883030201500259
Leevi,8,0,33,Male,1,0.895730002457548
Leevi-alexander,1,0,1,Male,1,0.0512932943875506
Leeya,11,66,0,Female,1,0.944997442986459
Leeza,13,70,0,Female,1,0.947976937589733
Legend,1,0,6,Male,1,0.609665712097835
Leha,1,3,0,Female,1,0.438502968244955
Lehnin,1,0,1,Male,1,0.0512932943875506
Lei,6,7,20,Male,0.868296254380928,0.553214286854469
Leia,16,1125,0,Female,1,0.996596989957556
Leiah,10,44,0,Female,1,0.919704396241519
Leiam,1,0,3,Male,1,0.438502968244955
Leiana,4,12,0,Female,1,0.757505993344759
Leianna,1,4,0,Female,1,0.510109163545403
Leiara,1,1,0,Female,1,0.0512932943875506
Leiarna,2,7,0,Female,1,0.645669564933313
Leif,13,0,92,Male,1,0.959918610714378
Leigh,16,907,310,Female,0.76895630289352,0.720050681335775
Leigh-ann,10,75,0,Female,1,0.951276157517194
Leigh-anna,1,3,0,Female,1,0.438502968244955
Leigh-anne,8,76,0,Female,1,0.951886414934863
Leigha,16,563,0,Female,1,0.993223045419638
Leigha-louise,1,3,0,Female,1,0.438502968244955
Leighah,1,3,0,Female,1,0.438502968244955
Leigham,2,0,8,Male,1,0.67559243511612
Leighann,3,17,0,Female,1,0.815681864991148
Leighanna,5,19,0,Female,1,0.831820775947384
Leighanne,6,36,0,Female,1,0.903581371405536
Leigharra,1,1,0,Female,1,0.0512932943875506
Leighla,2,10,0,Female,1,0.722467200137111
Leighlan,3,0,10,Male,1,0.722467200137111
Leighland,3,0,9,Male,1,0.700854951580456
Leighton,16,13,2646,Male,0.997140538328989,0.991652839240733
Leighton-james,4,0,15,Male,1,0.796116698964151
Leighton-kyle,1,0,1,Male,1,0.0512932943875506
Leighton-lee,1,0,3,Male,1,0.438502968244955
Leighton-quade,1,0,1,Male,1,0.0512932943875506
Leighum,1,0,1,Male,1,0.0512932943875506
Leiha,1,4,0,Female,1,0.510109163545403
Leila,16,3522,0,Female,1,0.998910484528145
Leila-grace,2,7,0,Female,1,0.645669564933313
Leila-jane,1,1,0,Female,1,0.0512932943875506
Leila-mae,1,3,0,Female,1,0.438502968244955
Leila-mai,1,3,0,Female,1,0.438502968244955
Leila-rose,3,14,0,Female,1,0.784689197262364
Leilah,15,207,0,Female,1,0.981780344140186
Leilah-mae,1,3,0,Female,1,0.438502968244955
Leilan,1,0,3,Male,1,0.438502968244955
Leiland,5,0,26,Male,1,0.871271078140785
Leilani,16,384,0,Female,1,0.990095285758323
Leim,1,0,1,Male,1,0.0512932943875506
Leina,5,15,0,Female,1,0.796116698964151
Leisa,1,3,0,Female,1,0.438502968244955
Leisha,16,123,0,Female,1,0.96971448565469
Leith,10,1,40,Male,0.998748944039328,0.874049379442258
Leiyah,2,7,0,Female,1,0.645669564933313
Leizl,1,1,0,Female,1,0.0512932943875506
Leizxha,1,1,0,Female,1,0.0512932943875506
