Name,Year,F,M
Aaradhya,2012,12,0
Aarae,2010,1,0
Aarah,2011,1,0
Aaran,1996,0,21
Aaran,1997,0,34
Aaran,1998,0,25
Aaran,1999,0,22
Aaran,2000,0,21
Aaran,2001,0,20
Aaran,2002,0,31
Aaran,2003,0,23
Aaran,2004,0,18
Aaran,2005,0,19
Aaran,2006,0,13
Aaran,2007,0,20
Aaran,2008,0,18
Aaran,2009,0,29
Aaran,2010,0,20
Aaran,2011,0,19
Aaran,2012,0,10
Aarani,2001,3,0
Aarani,2009,4,0
Aarani,2010,3,0
Aarav,2003,0,5
Aarav,2005,0,14
Aarav,2006,0,22
Aarav,2007,0,24
Aarav,2008,0,31
Aarav,2009,0,91
Aarav,2010,0,109
Aarav,2011,0,124
Aarav,2012,0,129
Aaren,1999,0,4
Aaren,2006,0,3
Aaren,2007,0,3
Aaren,2008,0,5
Aaren,2010,0,5
Aaren,2011,0,2
Aarez,2008,0,3
Aarez,2009,0,3
Aaria,2010,6,0
Aaria,2012,7,0
Aariah,2012,4,0
Aarian,2003,0,4
Aarian,2004,0,3
Aarian,2005,0,3
Aarian,2006,0,3
Aarian,2007,0,5
Aarian,2008,0,3
Aarian,2009,0,5
Aarian,2010,0,5
Aarian,2012,0,3
Aariana,2011,3,0
Aarib,2007,0,4
Aarib,2009,0,4
Aarib,2010,0,4
Aarib,2011,0,7
Aaric,2008,0,3
Aarif,1996,0,3
Aarif,1997,0,4
Aarif,1999,0,3
Aarif,2005,0,3
Aarif,2007,0,4
Aarifah,1999,4,0
Aarifah,2000,3,0
Aarifah,2001,3,0
Aarifah,2003,4,0
Aarifah,2004,5,0
Aarifah,2006,3,0
Aarifah,2007,4,0
Aarifah,2008,6,0
Aarifah,2009,3,0
Aarifah,2010,8,0
Aarifah,2011,3,0
Aarifah,2012,7,0
Aarika,2011,5,0
Aarin,2005,0,3
Aarin,2011,0,5
Aarin,2012,0,4
Aarini,2009,3,0
Aaris,2004,0,3
Aaris,2011,0,4
Aarish,2010,0,6
Aarish,2011,0,9
Aariv,2012,0,1
Aariya,2007,3,0
Aariya,2008,3,0
Aariya,2010,6,0
Aariya,2011,7,0
Aariya,2012,8,0
Aariyan,2005,0,4
Aariyan,2007,0,6
Aariyan,2008,0,3
Aariyan,2009,0,5
Aariyan,2010,0,4
Aariyan,2011,0,5
Aariyan,2012,0,6
Aariz,2004,0,5
Aariz,2005,0,5
Aariz,2006,0,8
Aariz,2007,0,17
Aariz,2008,0,26
Aariz,2009,0,26
Aariz,2010,0,32
Aariz,2011,0,47
Aariz,2012,0,40
Aarmaan,2012,0,1
Aarna,2007,6,0
Aarna,2008,10,0
Aarna,2009,19,0
Aarna,2010,9,0
Aarna,2011,22,0
Aarna,2012,26,0
Aarnav,2007,0,4
Aarnav,2008,0,6
Aarnav,2009,0,8
Aarnav,2010,0,19
Aarnav,2011,0,10
Aarnav,2012,0,13
Aarni,2011,1,0
Aaro,2011,0,3
Aarohi,2009,1,0
Aarohi,2012,7,0
Aaron,1996,0,2511
Aaron,1997,0,2718
Aaron,1998,0,2715
Aaron,1999,0,2350
Aaron,2000,0,2153
Aaron,2001,0,1922
Aaron,2002,0,2052
Aaron,2003,0,1800
Aaron,2004,0,1871
Aaron,2005,0,1704
Aaron,2006,0,1751
Aaron,2007,0,1657
Aaron,2008,0,1516
Aaron,2009,0,1872
Aaron,2010,0,1786
Aaron,2011,0,1569
Aaron,2012,0,1359
Aaron-james,1997,0,3
Aaron-james,2007,0,4
Aaron-james,2009,0,4
Aaron-james,2010,0,3
Aaron-james,2011,0,9
Aaron-james,2012,0,8
Aaron-jay,2011,0,3
Aaron-john,2010,0,1
Aaron-lee,1998,0,3
Aaron-lee,2004,0,3
Aaron-matthew,2011,0,1
Aarondeep,1996,0,12
Aarondeep,1997,0,8
Aarondeep,1998,0,9
Aarondeep,1999,0,10
Aarondeep,2000,0,4
Aarondeep,2001,0,9
Aarondeep,2002,0,4
Aarondeep,2003,0,9
Aarondeep,2004,0,4
Aarondeep,2005,0,4
Aarondeep,2007,0,4
Aaronjit,1998,0,3
Aaronjit,2012,0,1
Aaronveer,1997,0,4
Aaronveer,1999,0,3
Aaronveer,2007,0,4
Aaronveer,2011,0,3
Aaroon,1997,0,3
Aaroon,1998,0,3
Aaroon,2005,0,3
Aarran,2010,0,2
Aarran,2011,0,1
Aarran,2012,0,1
Aarron,1996,0,20
Aarron,1997,0,26
Aarron,1998,0,31
Aarron,1999,0,24
Aarron,2000,0,16
Aarron,2001,0,14
Aarron,2002,0,9
Aarron,2003,0,7
Aarron,2004,0,10
Aarron,2005,0,5
Aarron,2006,0,9
Aarron,2007,0,12
Aarron,2008,0,4
Aarron,2009,0,4
Aarron,2010,0,13
Aarron,2011,0,10
Aarron,2012,0,8
Aarsh,2009,0,3
Aart,2012,0,1
Aarthi,1998,4,0
Aarthi,2001,3,0
Aarti,1996,8,0
Aarti,1997,7,0
Aarti,1999,5,0
Aarti,2000,5,0
Aarti,2001,5,0
Aarti,2002,3,0
Aarti,2003,3,0
Aarti,2005,3,0
Aarti,2006,4,0
Aarti,2007,5,0
Aarti,2008,5,0
