Name,F,M,Year
Aanya,8,0,2001
Aanya,12,0,2002
Aanya,10,0,2003
Aanya,10,0,2004
Aanya,11,0,2005
Aanya,20,0,2006
Aanya,20,0,2007
Aanya,41,0,2008
Aanya,28,0,2009
Aanya,58,0,2010
Aanya,71,0,2011
Aaqib,0,6,1996
Aaqib,0,7,1997
Aaqib,0,5,1999
Aaqib,0,4,2000
Aaqib,0,5,2001
Aaqib,0,12,2002
Aaqib,0,9,2003
Aaqib,0,6,2004
Aaqib,0,10,2005
Aaqib,0,12,2006
Aaqib,0,4,2007
Aaqib,0,12,2008
Aaqib,0,5,2009
Aaqib,0,5,2010
Aaqib,0,9,2011
Aaqil,0,3,2001
Aaqil,0,3,2003
Aaqil,0,3,2005
Aaqil,0,3,2007
Aaqil,0,7,2008
Aaqil,0,5,2009
Aara,4,0,2009
Aara,5,0,2010
Aara,8,0,2011
Aarabi,4,0,2008
Aarabi,3,0,2011
Aarae,1,0,2010
Aaran,0,21,1996
Aaran,0,34,1997
Aaran,0,25,1998
Aaran,0,22,1999
Aaran,0,21,2000
Aaran,0,20,2001
Aaran,0,31,2002
Aaran,0,23,2003
Aaran,0,18,2004
Aaran,0,19,2005
Aaran,0,13,2006
Aaran,0,20,2007
Aaran,0,18,2008
Aaran,0,29,2009
Aaran,0,20,2010
Aaran,0,16,2011
Aarani,3,0,2001
Aarani,4,0,2009
Aarani,3,0,2010
Aarav,0,5,2003
Aarav,0,14,2005
Aarav,0,22,2006
Aarav,0,24,2007
Aarav,0,31,2008
Aarav,0,91,2009
Aarav,0,109,2010
Aarav,0,120,2011
Aaren,0,4,1999
Aaren,0,3,2006
Aaren,0,3,2007
Aaren,0,5,2008
Aaren,0,5,2010
Aarez,0,3,2008
Aarez,0,3,2009
Aaria,6,0,2010
Aarian,0,4,2003
Aarian,0,3,2004
Aarian,0,3,2005
Aarian,0,3,2006
Aarian,0,5,2007
Aarian,0,3,2008
Aarian,0,5,2009
Aarian,0,5,2010
Aariana,3,0,2011
Aarib,0,4,2007
Aarib,0,4,2009
Aarib,0,4,2010
Aarib,0,7,2011
Aaric,0,3,2008
Aarif,0,3,1996
Aarif,0,4,1997
Aarif,0,3,1999
Aarif,0,3,2005
Aarif,0,4,2007
Aarifah,4,0,1999
Aarifah,3,0,2000
Aarifah,3,0,2001
Aarifah,4,0,2003
Aarifah,5,0,2004
Aarifah,3,0,2006
Aarifah,4,0,2007
Aarifah,6,0,2008
Aarifah,3,0,2009
Aarifah,8,0,2010
Aarifah,3,0,2011
Aarika,5,0,2011
Aarin,0,3,2005
Aarin,0,3,2011
Aarini,3,0,2009
Aaris,0,3,2004
Aaris,0,4,2011
Aarish,0,6,2010
Aarish,0,9,2011
Aariya,3,0,2007
Aariya,3,0,2008
Aariya,6,0,2010
Aariya,7,0,2011
Aariyan,0,4,2005
Aariyan,0,6,2007
Aariyan,0,3,2008
Aariyan,0,5,2009
Aariyan,0,4,2010
Aariyan,0,5,2011
Aariz,0,5,2004
Aariz,0,5,2005
Aariz,0,8,2006
Aariz,0,17,2007
Aariz,0,26,2008
Aariz,0,26,2009
Aariz,0,32,2010
Aariz,0,47,2011
Aarna,6,0,2007
Aarna,10,0,2008
Aarna,19,0,2009
Aarna,9,0,2010
Aarna,19,0,2011
Aarnav,0,4,2007
Aarnav,0,6,2008
Aarnav,0,8,2009
Aarnav,0,19,2010
Aarnav,0,10,2011
Aaro,0,3,2011
