Name,F,M,Year
Andrzej,0,1,2009
Andy,0,3,2009
Anea,1,0,2009
Aneeq,0,1,2009
Aneesa,2,0,2009
Aneesah,1,0,2009
Anelle,1,0,2009
Anet,1,0,2009
Angel,24,0,2009
Angel-mae,1,0,2009
Angela,8,0,2009
Angelea,1,0,2009
Angelica,4,0,2009
Angelika,1,0,2009
Angelin,1,0,2009
Angelina,2,0,2009
Angeline,1,0,2009
Angus,0,91,2009
Anharika,1,0,2009
Anhat,1,0,2009
Ania,2,0,2009
Aniela,1,0,2009
Anika,2,0,2009
Anila,1,0,2009
Anis,0,1,2009
Anisa,1,0,2009
Anisah,2,0,2009
Anish,0,1,2009
Anissa,1,0,2009
Anita,4,0,2009
Anja,2,0,2009
Anjali,2,0,2009
Anjolaoluwa,1,2,2009
Ankita,1,0,2009
Anmol,0,1,2009
Ann,2,0,2009
Anna,190,0,2009
Anna-beth,2,0,2009
Anna-grace,1,0,2009
Anna-leigh,3,0,2009
Anna-lise,1,0,2009
Anna-louise,2,0,2009
Anna-mae,1,0,2009
Annabel,23,0,2009
Annabella,4,0,2009
Annabelle,20,0,2009
Annagh,1,0,2009
Annakin,1,0,2009
Annalie,1,0,2009
Annaliese,2,0,2009
Annalisa,1,0,2009
Annalise,6,0,2009
Annastasiangozi,1,0,2009
Anne,7,0,2009
Anne-marie,1,0,2009
Anne-terez,1,0,2009
Annelise,1,0,2009
Annie,24,0,2009
Annie-louisa,1,0,2009
Annika,2,0,2009
Annissa,1,0,2009
Anoushka,1,0,2009
Ansel,0,1,2009
Ansh,0,2,2009
Anshuman,0,1,2009
Ansley,1,0,2009
Anthony,0,46,2009
Anton,0,6,2009
Antonella,2,0,2009
Antoni,0,8,2009
Antonia,8,0,2009
Antonieta,1,0,2009
Antonina,4,0,2009
Antonio,0,4,2009
Antony,0,9,2009
Anum,1,0,2009
Anushka,3,0,2009
Anvi,1,0,2009
Anwen,1,0,2009
Anya,31,0,2009
Anyanka,1,0,2009
Aodhan,0,3,2009
Aoibhe,1,0,2009
Aoife,14,0,2009
Aoife-grace,1,0,2009
Aoilisa,1,0,2009
Aonan,0,1,2009
Apple,1,0,2009
April,13,0,2009
Aqeel,0,1,2009
Aqsa,5,0,2009
Ara,2,0,2009
Araan,0,1,2009
Arabella,5,0,2009
Arabelle,1,0,2009
Arafah,1,0,2009
Arale,1,0,2009
Aram,0,1,2009
Aran,0,5,2009
Arawen-zoe,1,0,2009
Archer,0,1,2009
Archibald,0,18,2009
Archie,0,137,2009
Arda,0,4,2009
Arden,1,0,2009
Areebe,1,0,2009
Areesha,1,0,2009
Aren,0,2,2009
Argyle,0,1,2009
Argyll,0,1,2009
Ari,3,0,2009
Aria,3,0,2009
Arian,0,2,2009
Ariana,4,0,2009
Arianna,12,0,2009
Arianne,1,0,2009
Arielle,2,0,2009
Arif,0,1,2009
Arijus,0,1,2009
Arin,0,3,2009
Arina,1,0,2009
Arinjay,0,1,2009
Aris,0,1,2009
Arisa,1,0,2009
Arisha,3,0,2009
Ariya,1,0,2009
Arjun,0,4,2009
Arkadiusz,0,2,2009
Arkady,0,1,2009
Arla,2,0,2009
Arlene,1,0,2009
Arley,1,0,2009
Arlo,0,7,2009
Arlowe,0,1,2009
Armaan,0,6,2009
Arman,0,1,2009
Armandas,0,1,2009
Armano,0,1,2009
Arnav,0,1,2009
Arnold,0,2,2009
Arnoldus,0,1,2009
Aron,0,7,2009
Aroosh,0,1,2009
Aroush,1,0,2009
Arran,1,108,2009
Arran-william,0,1,2009
Arria,1,0,2009
Arrianna,1,0,2009
Arrianna-fiona,1,0,2009
Arrianna-jane,1,0,2009
Arrin,0,1,2009
Arrol,0,1,2009
Arron,0,15,2009
Arsene,0,1,2009
Arsh,0,1,2009
Arshad,0,1,2009
Arshia,0,1,2009
Artemis,2,0,2009
Artemy,0,1,2009
Arthur,0,13,2009
Artian,0,1,2009
Artis,0,1,2009
Artur,0,5,2009
Artyom,0,1,2009
Arun,0,2,2009
Arwa,1,0,2009
Arwaa,1,0,2009
Arwen,7,0,2009
Arwyn,2,0,2009
Arya,0,1,2009
Arya-jane,1,0,2009
Aryam,1,0,2009
Aryan,0,8,2009
Aryanna,1,0,2009
Aryn,1,0,2009
Asad,0,1,2009
Asaldis,1,0,2009
Aseel,2,0,2009
Aser,0,1,2009
Ash,0,1,2009
Asha,3,0,2009
Ashaz,0,1,2009
Ashel,0,1,2009
Asher,0,3,2009
Ashfan,0,1,2009
Ashia,1,0,2009
Ashlee,2,0,2009
Ashleigh,15,0,2009
Ashleigh-ann,1,0,2009
Ashleigh-louise,1,0,2009
Ashley,27,3,2009
Ashleylouise,1,0,2009
Ashlie,1,0,2009
Ashlyn,9,0,2009
Ashlyne,1,0,2009
Ashlynn,2,0,2009
Ashmin,0,1,2009
Ashraf,0,1,2009
Ashrith,0,1,2009
Ashton,3,59,2009
Ashton-lee,0,1,2009
Ashtyn,1,3,2009
Ashvik,0,1,2009
Ashwin,0,1,2009
Asia,3,0,2009
Asif,0,1,2009
Asil,1,0,2009
Asiya,1,0,2009
Aslam,0,1,2009
Asma,3,0,2009
Asmaa,4,0,2009
Asmat,1,0,2009
Asra,1,0,2009
Asterios,0,1,2009
Aston,0,19,2009
Aston-lee,0,1,2009
Astrid,4,0,2009
Astyn,0,1,2009
Asyraf,0,1,2009
Atanas,0,1,2009
Athan,0,1,2009
Athanafis,0,1,2009
Atharva,0,1,2009
Athena,2,0,2009
Athol,0,1,2009
Atholl,0,1,2009
Athul,0,1,2009
Atlanta,2,0,2009
Attah,0,1,2009
Aubepine,1,0,2009
Aubrey,0,1,2009
Aubry,1,0,2009
Auden,0,1,2009
Audrey,2,0,2009
Augure,1,0,2009
August,1,1,2009
Aulay,0,2,2009
Aurelia,5,0,2009
Aurelie,1,0,2009
Auris,0,1,2009
Aurla,2,0,2009
Auron,0,1,2009
Aurora,3,0,2009
Aurron,0,1,2009
Austeja,2,0,2009
Austen,0,1,2009
Austin,0,43,2009
Austyn,0,1,2009
Autaum,1,0,2009
Autumn,8,0,2009
Ava,442,0,2009
Ava-grace,2,0,2009
Ava-jayne,1,0,2009
Ava-kate,1,0,2009
Ava-leigh,1,0,2009
Ava-louise,1,0,2009
Ava-marrie,1,0,2009
Ava-mary,1,0,2009
Ava-may,1,0,2009
Ava-ruby,1,0,2009
Avah,11,0,2009
Avah-jayne,1,0,2009
Avah-rose,1,0,2009
Avanita,1,0,2009
Avesta,0,1,2009
Avie,1,0,2009
Avier,0,1,2009
Aviral,0,1,2009
Aviv,0,1,2009
Avner,0,1,2009
Avram,0,1,2009
Avril,1,0,2009
Awo,1,0,2009
Axel,0,2,2009
Aya,1,0,2009
Ayaan,0,5,2009
Ayad,0,1,2009
Ayah,3,0,2009
Ayan,0,2,2009
Ayana,1,0,2009
Ayanah,1,0,2009
Ayanda,1,0,2009
Ayanna,2,0,2009
Ayat,1,1,2009
Ayda,1,0,2009
Aydan,0,1,2009
Ayden,1,21,2009
Aydin,1,7,2009
Aydn,0,1,2009
Aydon,0,1,2009
Ayesha,9,0,2009
Ayhan,0,1,2009
Ayiana,2,0,2009
Ayiden,0,1,2009
Ayimna,1,0,2009
Ayisha,1,0,2009
Ayla,17,0,2009
Aylee,2,0,2009
Aylei,1,0,2009
Ayleigh,3,0,2009
Ayley,1,0,2009
Aylie,1,0,2009
Ayma,1,0,2009
Ayman,1,2,2009
Aymen,1,1,2009
Ayomide,1,3,2009
Ayoola,0,1,2009
Ayra,2,0,2009
Ayrleighs,1,0,2009
Ayrton,0,1,2009
Ayse,1,0,2009
Aysha,3,0,2009
Ayshah-noor,1,0,2009
Ayshia,1,0,2009
Ayva,4,0,2009
Ayyub,0,1,2009
Ayza,2,0,2009
Azaan,0,3,2009
Azan,0,1,2009
Azariah,1,0,2009
Azeem,0,1,2009
Azelie,1,0,2009
Aziza,1,0,2009
Azizur,0,1,2009
Azka,2,0,2009
Azlaan,0,1,2009
Azlan,0,1,2009
Azwah,1,0,2009
Baasit,0,1,2009
Babatunde,0,1,2009
Babita,1,0,2009
Bachir,0,1,2009
Badarish,0,1,2009
Bader,0,1,2009
Baileigh,1,0,2009
Bailey,15,41,2009
Bailey-marie,1,0,2009
Bailie,1,0,2009
Bailley,1,1,2009
Baillie,5,9,2009
Balazs,0,2,2009
Balfour,0,1,2009
Baljit,1,0,2009
Baltazar,0,1,2009
Balwant,0,1,2009
Banjeet,0,1,2009
Baraa,0,1,2009
Barbara,2,0,2009
Barbod,0,1,2009
Barkad,0,1,2009
Barnabas,0,1,2009
Barney,0,1,2009
Barnim,0,1,2009
Barrie,0,2,2009
Barriejames,0,1,2009
Barron,0,1,2009
Barry,0,5,2009
Bartek,0,1,2009
Bartlomiej,0,2,2009
Bartosz,0,9,2009
Bashayer,1,0,2009
Bashir,0,1,2009
Basil,0,1,2009
Bastian,0,1,2009
Batool,1,0,2009
Bavumile,0,1,2009
Bawer,0,1,2009
Baxter,0,2,2009
Baye,0,1,2009
Baylay,1,0,2009
Baylee,0,1,2009
Bayley,0,2,2009
Baylie,1,1,2009
Bea,1,0,2009
Beate,2,0,2009
Beatha,1,0,2009
Beatrice,11,0,2009
Beatriz,2,0,2009
Beau,2,9,2009
Becca,5,0,2009
Beck,0,3,2009
Becky,7,0,2009
Beiba,1,0,2009
Belinda,1,0,2009
Bella,6,0,2009
Bella-rose,1,0,2009
Belle,7,0,2009
Bello,0,1,2009
Ben,0,215,2009
Benedict,0,2,2009
Beniamin,0,3,2009
Benito,0,2,2009
Benjamin,0,116,2009
Benjamin-james,0,1,2009
Benn,0,1,2009
Bennet,0,1,2009
Bennett,0,1,2009
Benoit,0,1,2009
Benon,0,1,2009
Benson,0,1,2009
Beray,1,0,2009
Beren,0,1,2009
Bernabe,0,1,2009
Bernadette,1,0,2009
Bernie,0,1,2009
Bertie,0,1,2009
Bessie,1,0,2009
Beth,77,0,2009
Betha,1,0,2009
Bethan,9,0,2009
Bethanie,1,0,2009
Bethany,63,0,2009
Betsy,1,0,2009
Betty,1,0,2009
Betty-lou,1,0,2009
Bevin,0,1,2009
Bevon,1,0,2009
Bhargav,0,1,2009
Bhavna,1,0,2009
Bhishnee,1,0,2009
Bhreagha,1,0,2009
Bianca,5,0,2009
Biba,1,0,2009
Bilal,0,7,2009
Billi,1,0,2009
Billie,15,0,2009
Billie-claire,1,0,2009
Billie-loren,1,0,2009
Billy,0,15,2009
Billyjoe,0,1,2009
Bindia,1,0,2009
Bjorn,0,1,2009
Blae,1,0,2009
Blaine,0,10,2009
Blair,4,81,2009
Blaire,2,0,2009
Blaise,1,0,2009
Blake,0,29,2009
Blane,0,1,2009
Blanka,2,0,2009
Blayne,0,1,2009
Blazej,0,2,2009
Blessing,2,0,2009
Bleu,0,1,2009
Bliss,1,0,2009
Blossom,2,0,2009
Blu,0,2,2009
Blythe,3,0,2009
Bnafsha,1,0,2009
Bo,1,1,2009
Bobbi,6,0,2009
Bobbie,2,2,2009
Bobbie-joe,1,0,2009
Bobby,0,19,2009
Boe,0,1,2009
Bohemond,0,1,2009
Boheng,0,1,2009
Bohumir,0,1,2009
Boid,0,1,2009
Boluwaduro,1,0,2009
Boluwatife,0,1,2009
Bonita,1,0,2009
Bonnie,9,0,2009
Bonnie-leigh,1,0,2009
Bonnique,1,0,2009
Bonny,1,0,2009
Borhane,0,1,2009
Boriana,1,0,2009
Boris,0,1,2009
Borys,0,2,2009
Boston,0,2,2009
Botond,0,2,2009
Bourne,0,1,2009
Boyd,0,24,2009
Bozhidar,0,1,2009
Brad,0,5,2009
Bradan,0,1,2009
Braden,0,2,2009
Bradlay,0,1,2009
Bradley,0,21,2009
Bradly,0,2,2009
Brady,0,4,2009
Bradyn,0,1,2009
Brae,0,1,2009
Braeden,0,3,2009
Brahmjot,1,0,2009
Braid,1,0,2009
Braiden,0,3,2009
Brajan,0,2,2009
Branden,0,2,2009
Branden-lewis,0,1,2009
Brandin,0,1,2009
Brandon,0,67,2009
Brandon-lee,0,2,2009
Brandyn,0,4,2009
Brayan,0,1,2009
Brayden,0,11,2009
Brea,1,0,2009
Breagh,1,0,2009
Breagha,3,0,2009
Breah,1,0,2009
Breanna,3,0,2009
Breannain,0,1,2009
Breckin,0,1,2009
Bree,3,0,2009
Brendan,0,16,2009
Brenden,0,1,2009
Brendon,0,1,2009
Brenna,2,0,2009
Brennan,0,5,2009
Breno,0,1,2009
Brent,0,1,2009
Bretas,0,1,2009
Brian,0,16,2009
Briana,1,0,2009
Brianna,7,0,2009
Bridget,1,0,2009
Brielle,1,0,2009
Brigit,1,0,2009
Brihanna,2,0,2009
Briony,3,0,2009
Britt,1,0,2009
Broc,0,1,2009
Broden,0,3,2009
Brodie,17,78,2009
Brodie-gael,0,1,2009
Brody,0,27,2009
Brogan,17,17,2009
Broghan,2,1,2009
Brogyn,0,1,2009
Bronagh,2,0,2009
Bronny,1,0,2009
Bronte,1,0,2009
Bronwyen,1,0,2009
Bronwyn,4,0,2009
Brook,3,0,2009
Brooke,242,0,2009
Brooke-lynn,1,0,2009
Brooklee,1,0,2009
Brooklyn,14,9,2009
Brooklyne,1,0,2009
Brooklynn,3,0,2009
Bruce,0,16,2009
Bruna,2,0,2009
Bruno,0,5,2009
Bryah,1,0,2009
Bryan,0,5,2009
Bryce,1,11,2009
Brydon,0,1,2009
Brylee,1,0,2009
Bryn,0,6,2009
Brynn,0,1,2009
Bryony,3,0,2009
Buddy,0,2,2009
Bushra,2,0,2009
Byrin,0,1,2009
Byron,0,3,2009
C-jae,0,1,2009
Cacy,0,1,2009
Cadan,0,1,2009
Cade,0,2,2009
Caden,1,15,2009
Cadence,4,0,2009
Cadey,2,0,2009
Cadey-lee,1,0,2009
Cadha,2,0,2009
Caeden,0,2,2009
Cael,0,1,2009
Caela,1,0,2009
Caelan,3,18,2009
Caelan-kole,0,1,2009
Caelen,1,2,2009
Caelia,1,0,2009
Caelin,0,2,2009
Caellin,0,1,2009
Caelyn,1,0,2009
Cahl,0,1,2009
Cahla,1,0,2009
Cahlan,0,1,2009
Cai,0,4,2009
Caidah,1,0,2009
Caidan,0,3,2009
Caidee,2,0,2009
Caiden,0,28,2009
Caidyn,0,3,2009
Caila,3,0,2009
